,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
294,lira,26,class,7,2500,2500,0.0200,0.5946,0.4983,0.1116,0.0000
295,lira,26,class,8,2500,2500,0.0396,0.6200,0.5151,0.0980,0.0000
296,lira,26,class,9,2500,2500,0.0264,1.0000,0.5131,0.1076,0.0020
297,lira,27,Entire dataset,,25000,25000,0.0274,0.6150,0.5186,0.1097,0.0013
298,lira,27,class,0,2500,2500,0.0268,0.5926,0.5080,0.0996,0.0000
299,lira,27,class,1,2500,2500,0.0364,0.7500,0.5160,0.1032,0.0016
300,lira,27,class,2,2500,2500,0.0628,1.0000,0.5313,0.1152,0.0016
301,lira,27,class,3,2500,2500,0.0268,0.5806,0.5086,0.0956,0.0000
302,lira,27,class,4,2500,2500,0.0400,1.0000,0.5227,0.1276,0.0036
303,lira,27,class,5,2500,2500,0.0276,0.7143,0.5095,0.1020,0.0020
304,lira,27,class,6,2500,2500,0.0500,0.5385,0.5246,0.1120,0.0000
305,lira,27,class,7,2500,2500,0.0588,0.7391,0.5338,0.1204,0.0008
306,lira,27,class,8,2500,2500,0.0276,0.6000,0.5117,0.1036,0.0000
307,lira,27,class,9,2500,2500,0.0428,0.8000,0.5215,0.1116,0.0020
308,lira,28,Entire dataset,,25000,25000,0.0272,0.6163,0.5173,0.1065,0.0010
309,lira,28,class,0,2500,2500,0.0412,0.7500,0.5178,0.0880,0.0016
310,lira,28,class,1,2500,2500,0.0404,0.6316,0.5216,0.1148,0.0000
311,lira,28,class,2,2500,2500,0.0488,1.0000,0.5254,0.1076,0.0032
312,lira,28,class,3,2500,2500,0.0500,0.6667,0.5259,0.1108,0.0004
313,lira,28,class,4,2500,2500,0.0332,1.0000,0.5188,0.1104,0.0060
314,lira,28,class,5,2500,2500,0.0424,0.5333,0.5206,0.1016,0.0000
315,lira,28,class,6,2500,2500,0.0316,0.6957,0.5151,0.1200,0.0000
316,lira,28,class,7,2500,2500,0.0156,0.6364,0.5030,0.1024,0.0004
317,lira,28,class,8,2500,2500,0.0332,0.5185,0.5131,0.0944,0.0004
318,lira,28,class,9,2500,2500,0.0336,0.6364,0.5165,0.1020,0.0008
319,lira,29,Entire dataset,,25000,25000,0.0225,0.7222,0.5160,0.1089,0.0014
320,lira,29,class,0,2500,2500,0.0440,0.6471,0.5249,0.1132,0.0012
321,lira,29,class,1,2500,2500,0.0304,0.6471,0.5066,0.1072,0.0004
322,lira,29,class,2,2500,2500,0.0596,0.8000,0.5335,0.1252,0.0020
323,lira,29,class,3,2500,2500,0.0436,1.0000,0.5166,0.1096,0.0012
