,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
152,lira,13,class,8,2925,2926,0.0799,1.0000,0.5483,0.1337,0.0178
153,lira,13,class,9,2974,2975,0.0539,1.0000,0.5399,0.1469,0.0208
154,lira,14,Entire dataset,,29997,30003,0.0502,1.0000,0.5430,0.1391,0.0198
155,lira,14,class,0,2961,2962,0.0254,1.0000,0.5054,0.1175,0.0108
156,lira,14,class,1,3371,3371,0.0451,1.0000,0.5249,0.1198,0.0074
157,lira,14,class,2,2979,2979,0.0960,1.0000,0.5671,0.1618,0.0208
158,lira,14,class,3,3065,3066,0.0694,1.0000,0.5538,0.1491,0.0199
159,lira,14,class,4,2921,2921,0.0613,1.0000,0.5332,0.1294,0.0147
160,lira,14,class,5,2710,2711,0.0742,1.0000,0.5531,0.1661,0.0280
161,lira,14,class,6,2959,2959,0.0740,1.0000,0.5543,0.1392,0.0179
162,lira,14,class,7,3132,3133,0.0632,1.0000,0.5408,0.1440,0.0176
163,lira,14,class,8,2925,2926,0.0692,1.0000,0.5485,0.1361,0.0219
164,lira,14,class,9,2974,2975,0.0749,1.0000,0.5530,0.1395,0.0249
165,lira,15,Entire dataset,,29997,30003,0.0547,1.0000,0.5466,0.1402,0.0215
166,lira,15,class,0,2961,2962,0.0397,1.0000,0.5267,0.1243,0.0132
167,lira,15,class,1,3371,3371,0.0424,1.0000,0.5247,0.1166,0.0133
168,lira,15,class,2,2979,2979,0.0806,1.0000,0.5627,0.1531,0.0252
169,lira,15,class,3,3065,3066,0.0613,1.0000,0.5429,0.1380,0.0153
170,lira,15,class,4,2921,2921,0.0510,1.0000,0.5369,0.1373,0.0175
171,lira,15,class,5,2710,2711,0.0862,1.0000,0.5660,0.1524,0.0236
172,lira,15,class,6,2959,2959,0.0696,1.0000,0.5485,0.1284,0.0162
173,lira,15,class,7,3132,3133,0.0670,1.0000,0.5464,0.1373,0.0201
174,lira,15,class,8,2925,2926,0.0839,1.0000,0.5606,0.1426,0.0198
175,lira,15,class,9,2974,2975,0.0702,1.0000,0.5548,0.1533,0.0289
176,lira,16,Entire dataset,,29997,30003,0.0478,1.0000,0.5386,0.1358,0.0183
177,lira,16,class,0,2961,2962,0.0455,1.0000,0.5300,0.1226,0.0111
178,lira,16,class,1,3371,3371,0.0279,1.0000,0.5128,0.1104,0.0092
179,lira,16,class,2,2979,2979,0.0728,1.0000,0.5522,0.1524,0.0279
180,lira,16,class,3,3065,3066,0.0477,1.0000,0.5367,0.1445,0.0173
181,lira,16,class,4,2921,2921,0.0479,1.0000,0.5311,0.1239,0.0110
182,lira,16,class,5,2710,2711,0.0748,1.0000,0.5603,0.1627,0.0310
183,lira,16,class,6,2959,2959,0.0483,1.0000,0.5360,0.1413,0.0155
